"","cocktails_name","ingredient_1","ingredient_2","ingredient_3","ingredient_4","ingredient_5","ingredient_6","ingredient_7","ingredient_8","ingredient_9","ingredient_10","ingredient_11","ingredient_12","abv","volume","classified_by_abv","long_and_short_drink"
"40","Apricot Martini","Vodka:37.5","Apricot Brandy:20.0","Lemon Juice:25.0","Angostura Bitters:1.0(dash)","Simple Syrup:12.5","Lemon Zest","","","","","","",23.1,96,"喝到微醺最快樂！","快快喝，快快醉"
"41","Apricot Sour","Bourbon Whiskey:37.5","Apricot Brandy:12.5","Apple Juice:25.0","Lemon Juice:20.0","2 spoons Apricot Jam","","","","","","","",20.2,95,"喝到微醺最快樂！","快快喝，快快醉"
"42","April Rain","Vodka:50.0","Dry Vermouth:12.5","Lime Juice:12.5","Lime Peel","","","","","","","","",32.9,75,"喝到微醺最快樂！","快快喝，快快醉"
"43","April Shower","Brandy:25.0","Yellow Chartreuse:5.0","Orange Juice:25.0","","","","","","","","","",30.4,55,"喝到微醺最快樂！","快快喝，快快醉"
"44","Arathusa","White Rum:50.0","Manzanilla Sherry:20.0","Lime Juice:20.0","Pineapple Syrup:20.0","Maraschino Cherry","","","","","","","",20.7,110,"喝到微醺最快樂！","快快喝，快快醉"
"45","Arizona Breeze","Gin:65.0","Cranberry Juice:75.0","Grapefruit Juice:50.0","","","","","","","","","",13.6,190,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"46","As Night Falls","Vodka:50.0","White Grapefruit Juice:25.0","2 Coriander Leaves","7 Red Peppercorns","White Sugar:1.0(teaspoon)","small piece of Ginger","Whole Star Anise","Orange Zest","","","","",24.7,80,"喝到微醺最快樂！","快快喝，快快醉"
"47","Aspenlicious","Coconut Vodka:50.0","Amaretto:12.5","Coffee Liqueur:12.5","Rum:12.5","Irish Cream Cocktail:12.5","Half - And - Half:1.0(splash)","Chocolate Syrup:1.0(dash)","Grated White Chocolate.","","","","",30.7,107,"喝到微醺最快樂！","快快喝，快快醉"
"48","Atone-Mint","Blueberry Vodka:50.0","Lemon Juice:12.5","Sparkling Water:50.0","Simple Syrup:25.0","fresh Mint Leaves","Lemon Wedge","","","","","","",12.6,138,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"49","Autumn Slumber Toddy","Gin:50.0","Crème de Cassis:12.5","Simple Syrup:1.0(dash)","Lemon  Juice:1.0(teaspoon)","Hot Water","","","","","","","",31.5,68,"喝到微醺最快樂！","快快喝，快快醉"
"50","Aviation","Gin:50.0","Maraschino Liqueur:12.5","Lemon Juice:12.5","Crème de Violette:5.0","","","","","","","","",30.9,80,"喝到微醺最快樂！","快快喝，快快醉"
"51","Axis Kiss","Amaretto:5.0","Crème de Cassis:5.0","Champagne:75.0","","","","","","","","","",13.1,85,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"52","B & B","Cognac:25.0","Benedictine:25.0","","","","","","","","","","",39.2,50,"喝到微醺最快樂！","快快喝，快快醉"
"53","B-52","Coffee Liqueur:10.0","Irish Cream Liqueur:10.0","Triple Sec:10.0","","","","","","","","","",31.3,30,"喝到微醺最快樂！","快快喝，快快醉"
"54","B-52 Gunship","Coffee Liqueur:10.0","Irish Cream Liqueur:10.0","Absinthe:10.0","","","","","","","","","",42.3,30,"人生偶爾就是要來大醉一場","快快喝，快快醉"
"55","B-52 in the Desert","Coffee Liqueur:10.0","Tequila:10.0","Triple Sec:10.0","","","","","","","","","",38.7,30,"喝到微醺最快樂！","快快喝，快快醉"
"56","Baby Guinness","Coffee Liqueur:75.0","Irish Cream Liqueur:25.0","","","","","","","","","","",33.9,100,"喝到微醺最快樂！","快快喝，快快醉"
"57","Bacardi","Bacardi White Rum:45.0","Lime Juice:20.0","Grenadine Syrup:5.0","","","","","","","","","",25.4,70,"喝到微醺最快樂！","快快喝，快快醉"
"58","Backdraft","Drambuie:37.5","Grand Marnier:37.5","Cinnamon","","","","","","","","","",39.5,75,"喝到微醺最快樂！","快快喝，快快醉"
"59","Bahama Mama","Coffee Liqueur:5.0","Dark Rum:12.5","Coconut Liqueur:12.5","151 proof Rum:5.0","Juice of 1/2 Lemon","Pineapple juice:100.0","Strawberry","","","","","",7.1,135,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"60","Baja Gold","Tequila:50.0","Triple Sec:12.5","Pineapple Juice:50.0","Lime Juice:12.5","Simple Syrup:12.5","Lime Wedge","","","","","","",18.1,138,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"61","Bajan Passion","Gold Rum:37.5","Apricot Brandy:12.5","Lime Juice:25.0","Vanilla Sugar Syrup:12.5","Sugar Syrup:12.5","1 Passion Fruit","","","","","","",19.2,100,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"62","Ballet Ruse","Vodka:50.0","Black Raspberry Liqueur:20.0","Lime Juice:25.0","Sugar Syrup:12.5","","","","","","","","",21.5,108,"喝到微醺最快樂！","快快喝，快快醉"
"63","Balm Smash","Rum:50.0","Fig Puree:25.0","Apple Juice:25.0","8 Lemon Balm leaves","","","","","","","","",19.8,100,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"64","Baltic Breeze","Raspberry Vodka:37.5","Apricot Brandy:12.5","Apple Juice:50.0","Cranberry Juice:50.0","Lime Juice:12.5","","","","","","","",10.7,162,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"65","Bamboo","Dry Vermouth:37.5","Sherry:37.5","Orange Bitters:2.0(dash)","Angostura Bitters:2.0(dash)","Olive","","","","","","","",28.5,79,"喝到微醺最快樂！","快快喝，快快醉"
"66","Banana Boomer","Vodka:30.0","Banana Liqueur:30.0","","","","","","","","","","",32,60,"喝到微醺最快樂！","快快喝，快快醉"
"67","Banana Daiquiri","Light Rum:37.5","Triple Sec:1.0(tablespoon)","1 Banana","Lime Juice:37.5","Sugar:1.0(teaspoon)","1 Marasschino Cherry","","","","","","",21.9,95,"喝到微醺最快樂！","快快喝，快快醉"
"68","Banana Daiquiri Jelly Shot","Rum:75.0","Crème de Banane:75.0","Lime Juice:25.0","Water:25.0","Unflavoured Gelatin:5.0","","","","","","","",23.7,205,"喝到微醺最快樂！","慢慢喝，還是會醉"
"69","Banana Hammock","Spice Rum:37.5","Banana Syrup:20.0","Lime Juice:20.0","Angostura Bitters:1.0(dash)","Caramelized Banana Dust","","","","","","","",18.5,78,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"70","Banana Split Martini","Vodka:37.5","Crème de Banana:20.0","Crème de Cacao:20.0","Banana slice","","","","","","","","",29.6,78,"喝到微醺最快樂！","快快喝，快快醉"
"71","Bananarita","Tequila:25.0","Banana Liqueur:37.5","Margarita Mix:75.0","","","","","","","","","",19.4,138,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"72","Banshee","White Crème de Cacao:25.0","Crème de Banane:25.0","Cream:25.0","","","","","","","","","",16.4,75,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"73","Barnum Cocktail","Gin:50.0","Apricot Brandy:25.0","Lemon Juice:12.5","Old Fashioned Bitters:2.0(dash)","","","","","","","","",31.8,89,"喝到微醺最快樂！","快快喝，快快醉"
"74","Basil-ica","Plymouth Gin:50.0","Elderflower Liqueur:12.5","Lemon Juice:12.5","Simple Syrup:12.5","4 large Basil leaves","Orange Bitters:1.0(dash)","Peychards Bitters:1.0(dash)","Orange twist","","","","",25.7,89,"喝到微醺最快樂！","快快喝，快快醉"
"75","Batida","Cachaca:50.0","Fruit Juice:25.0","Sugar:1.0(teaspoon)","","","","","","","","","",29.7,80,"喝到微醺最快樂！","快快喝，快快醉"
"76","Bay Breeze","Vodka:50.0","Pineapple Juice:25.0","Cranberry Juice:25.0","Lemon Juice:25.0","Sugar Syrup:12.5","Orange Wedge","","","","","","",14.4,138,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"77","Bayou Slime","Dark Rum:50.0","6 fresh Mint leaves","Spiced Cordial Syrup:12.5","1 Egg White","","","","","","","","",31.5,62,"喝到微醺最快樂！","快快喝，快快醉"
"78","Bazooka Joe","Irish Cream Liqueur:10.0","Banana Liqueur:10.0","Blue Curacao:10.0","","","","","","","","","",26.5,30,"喝到微醺最快樂！","快快喝，快快醉"
"79","Beachcomber","Light Rum:37.5","Triple Sec:12.5","Maraschino Liqueur:1.0(dash)","Lime Juice:12.5","","","","","","","","",31.5,63,"喝到微醺最快樂！","快快喝，快快醉"
"80","Beam Me Up Scotty","Coffee Liqueur:10.0","Crème de Banane:10.0","Irish Cream Liqueur:10.0","","","","","","","","","",26.5,30,"喝到微醺最快樂！","快快喝，快快醉"
"81","Bearded Lady","Whiskey:50.0","Lemon Juice:1.0(teaspoon)","Egg White:1.0(teaspoon)","Grenadine Syrup:25.0","","","","","","","","",23.9,85,"喝到微醺最快樂！","快快喝，快快醉"
"82","Beautiful","Cognac:25.0","Grand Marnier:25.0","","","","","","","","","","",39.2,50,"喝到微醺最快樂！","快快喝，快快醉"
"83","Beautiful Boat","Rose Champagne:40.0","Vodka:50.0","2 Mint Leaves","","","","","","","","","",27.3,90,"喝到微醺最快樂！","快快喝，快快醉"
"84","Bed of Roses","Jagermeister:37.5","Lemon Juice:50.0","Grenadine Syrup:25.0","Lime Juice:12.5","Lime Slice","","","","","","","",10.4,125,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"85","Bee Tea","Barenjager:25.0","Fresh Brewed Tea:50.0","Lemon Wedge","","","","","","","","","",11.5,75,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"86","Belizean Pina Colada","White Rum:30.0","Evaported Milk:30.0","Pineapple Juice:90.0","1 Pineapple Slice","","","","","","","","",7.9,150,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"87","Belladonna","Dark Rum:25.0","Light Rum:25.0","Cranberry Juice:25.0","Pineapple Juice:25.0","Orange Juice:25.0","","","","","","","",15.9,125,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"88","Bellini","Prosecco:100.0","Peach puree:50.0","Peach Bitters:4.0(dash)","","","","","","","","","",7.8,154,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"89","Belmont Breeze","Bourbon Whiskey:37.5","Dry Sherry:12.5","Lemon Juice:12.5","Simple Syrup:12.5","Orange Juice:37.5","Cranberry Juice:1.0(splash)","5 Mint leaves","1 Mint Sprig","","","","",14.4,118,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"90","Berry Bliss","Melon Liqueur:37.5","Vanilla Vodka:25.0","Raspberry Vodka:12.5","Pineapple Juice:1.0(splash)","Soda Water:1.0(splash)","Strawberry Slices","","","","","","",23.9,87,"喝到微醺最快樂！","快快喝，快快醉"
"91","Berry Caipirinha","Cachaca:50.0","Sugar Syrup:20.0","2 quarters of lime","4 blackberries","4 raspberries","","","","","","","",33.8,70,"喝到微醺最快樂！","快快喝，快快醉"
"92","Berry Nice","Raspberry Vodka:50.0","Black Raspberry Liqueur:5.0","Lemon Juice:12.5","8 Blackberries","Top-Up Ginger Beer","","","","","","","",26.8,68,"喝到微醺最快樂！","快快喝，快快醉"
"93","Besame","Agavero:37.5","Passionfruit Juice","Chambord:1.0(dash)","2 Lime wedges","6 Raspberries","","","","","","","",30.8,38,"喝到微醺最快樂！","快快喝，快快醉"
"94","Best Party Sangria","Red Wine:1.0(bottle)","Gin:50.0","Ginger Ale:4.0(cup)","Orange Juice:1.0(splash)","Sliced Pineapples:1.0(can)","Raspberries:1.0(cup)","Sugar:1.0(tablespoon)","Orange","Lime all cut into wedges.","","","",11.5,1231,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"95","Between the Sheets","Brandy:20.0","Light Rum:20.0","Triple Sec:20.0","Lemon Juice:12.5","Lemon Twist","","","","","","","",38.1,72,"喝到微醺最快樂！","快快喝，快快醉"
"96","Beverley Hills Iced Tea","Gin:15.0","Vodka:15.0","Tequila:15.0","White Rum:15.0","Triple Sec:15.0","Lemon Juice:25.0","Gomme Syrup:30.0","Champagne:1.0(splash)","","","","",22.4,136,"喝到微醺最快樂！","慢慢喝，還是會醉"
"97","Big Bamboo","151 Proof Rum:50.0","Dark Rum:25.0","Triple Sec:5.0","Orange Juice:50.0","Pineapple Juice:50.0","Simple Syrup:12.5","Bitters:1.0(dash)","","","","","",25.8,193,"喝到微醺最快樂！","慢慢喝，還是會醉"
"98","Bijou","Gin:45.0","Green Chartreuse:15.0","Sweet Vermouth:15.0","Orange Bitters:1.0(dash)","","","","","","","","",37.7,76,"喝到微醺最快樂！","快快喝，快快醉"
"99","Biltmore","Gin:50.0","Sweet Vermouth:25.0","Maraschino Liqueur:1.0(dash)","1 piece of Pineapple","Hazelnut soaked in Maraschino Liqueur","","","","","","","",32.2,76,"喝到微醺最快樂！","快快喝，快快醉"
"100","Bitter Elder","Gin:50.0","Apple Juice:75.0","Lemon Juice:20.0","Elderflower Cordial:12.5","Old Fashioned Bitters:3.0(dash)","","","","","","","",12.4,160,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"101","Bitter Sweet Symphony","Vodka:12.5","Triple Sec:25.0","Apricot Brandy:12.5","Grapefruit Juice:37.5","Lime Juice:12.5","","","","","","","",19.2,100,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"102","Black Adder","Jagermeister:10.0","Irish Cream Liqueur:10.0","Coffee Liqueur:10.0","","","","","","","","","",29.7,30,"喝到微醺最快樂！","快快喝，快快醉"
"103","Black and Gold","Blavod Black Vodka:50.0","Goldschlager:25.0","","","","","","","","","","",40.6,75,"人生偶爾就是要來大醉一場","快快喝，快快醉"
"104","Black and Red","Black Bush Irish Whiskey:25.0","Sweet Vermouth:12.5","Bitters:2.0(dash)","Maraschino Cherry","","","","","","","","",32.5,39,"喝到微醺最快樂！","快快喝，快快醉"
"105","Black Bison","Vodka:50.0","Cola:150.0","Mint Leaves","","","","","","","","","",10,200,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"106","Black Cherry Breezer","Black Cherry Vodka:50.0","Grenadine Syrup:5.0","Lemon Juice:1.0(dash)","Maraschino Cherry","","","","","","","","",32.9,56,"喝到微醺最快樂！","快快喝，快快醉"
"107","Black Cossack","Stout:250.0","Vodka:25.0","Dark Rum:25.0","","","","","","","","","",12.9,300,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"108","Black Haze","Whiskey:15.0","Frangelico:15.0","","","","","","","","","","",29,30,"喝到微醺最快樂！","快快喝，快快醉"
"109","Black Jack","Jack Daniels:15.0","Black Sambuca:15.0","","","","","","","","","","",37.3,30,"喝到微醺最快樂！","快快喝，快快醉"
"110","Black Magic","Vodka:50.0","Coffee Liqueur:20.0","Lemon Juice:1.0(dash)","","","","","","","","","",38.9,71,"喝到微醺最快樂！","快快喝，快快醉"
"111","Black Martini","Gin:90.0","Blackberry Brandy:12.5","Lemon Twist","","","","","","","","","",39,102,"喝到微醺最快樂！","快快喝，快快醉"
"112","Black Mushroom","Irish Cream Liqueur:25.0","Black Haus:25.0","","","","","","","","","","",27.9,50,"喝到微醺最快樂！","快快喝，快快醉"
"113","Black n Tan","Stout Beer:200.0","Pale Ale Beer:200.0","","","","","","","","","","",7,400,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"114","Black Nail","Irish Whiskey:20.0","Irish Mist Liqueur:20.0","Orange Peel","","","","","","","","","",36.6,40,"喝到微醺最快樂！","快快喝，快快醉"
"115","Black Rose","Tequila Rose:20.0","Blavod Black Vodka:20.0","","","","","","","","","","",26.8,40,"喝到微醺最快樂！","快快喝，快快醉"
"116","Black Russian","Vodka:45.0","Coffee Liqueur:25.0","","","","","","","","","","",39.4,70,"喝到微醺最快樂！","快快喝，快快醉"
"117","Black Samurai","Sake:15.0","Soy Sauce:15.0","","","","","","","","","","",7.7,30,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"118","Black Widow","Blavod Black Vodka:50.0","Cranberry Juice:75.0","","","","","","","","","","",15.9,125,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"119","Black `n` Blue","Gin:50.0","Crème de Mure:5.0","Apple Juice:65.0","19 Blueberries","","","","","","","","",17.2,120,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"120","Blackberry & Apple Crumble Bramble","Gin:37.5","Crème de Cassis:5.0","Cloudy Apple Juice:75.0","Lemon Juice:12.5","Vanilla Syrup:2.0(dash)","12 Blackberries","","","","","","",11.9,132,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"121","Blind Pilot","Bourbon Whiskey:25.0","Sweet Vermouth:25.0","Galliano:25.0","","","","","","","","","",33,75,"喝到微醺最快樂！","快快喝，快快醉"
"122","Blind Russian","Vodka:50.0","Coffee Liqueur:20.0","Irish Cream Liqueur:30.0","","","","","","","","","",32.8,100,"喝到微醺最快樂！","快快喝，快快醉"
"123","Blood and Sand","Scotch Whiskey:20.0","Cherry Brandy:20.0","Sweet Vermouth:20.0","Orange Juice:20.0","Orange slice","","","","","","","",24.2,80,"喝到微醺最快樂！","快快喝，快快醉"
