cocktail_name,alcohol_concentration(%),total_volume(ml)
Duncan Macleod,19.0,125
Duplex,28.6,75
Dusk in Eden,23.3,63
Dyevitchka,17.5,170
D`Artagnan,13.7,95
Earthquake,56.1,60
East Side Press,30.0,72
Easter Bunny,26.2,60
Easter Egg Cocktail,29.4,50
Easy Bourbon Tea,12.3,150
Eddy,26.2,60
Eden,21.4,92
El Diablo,26.6,62
El Presidente,46.0,78
Elderflower Cocktail,15.2,125
Elderflower Martini,21.4,92
Electric Iced Tea,21.9,136
Electric Martini,32.9,75
Embassy,37.6,73
Emerald Isle,36.9,32
Emerson,28.2,100
Emma Peel Cocktail,6.5,30
Enamorada Sunrise,14.0,150
English Rose,32.7,117
Envy,50.2,50
Epiphany,18.4,108
Especial,19.0,120
Espresso Martini,24.6,62
Everybody`s Irish,39.5,80
Fabiola,38.7,60
Fancy Whiskey,33.1,76
Farnell,8.7,100
Fireball,39.0,42
Firecracker,43.3,38
Firefly,11.4,175
Fish House Punch,34.2,1619
Fizzy Apple Cocktail,2.0,62
Fizzy Peach,5.8,150
Flaming Dr. Pepper,6.8,605
Flaming Homer,35.7,125
Flirtini,23.1,125
Floradora,25.4,88
Florida Sunrise,11.9,150
Floridita Margarita,12.8,155
Flossy Aussie,0.0,125
Foghorn,31.5,62
Four Horsemen,39.0,40
Four Horsemen and Hell Follows,49.0,25
Four Horsemen Go Hunting,38.6,25
Four Men in a Boat,38.1,20
Fourth of July,26.0,38
Freddy Fudpucker,15.5,162
French 75,23.6,68
French Connection,33.3,50
French Kiss,22.6,30
French Martini,0.0,25
French Pear Martini,29.6,75
Fresca,19.3,88
Fresh Squeeze,27.6,88
Friar Tuck,10.9,100
Frisky Whiskey,37.0,52
Frog In a Blender,13.2,150
Frostbite,30.4,75
Full House,37.8,61
Full Moon Fever,26.3,113
Fuzzy Navel,23.4,38
Garbo,30.8,81
General Sherman,32.5,39
Ghostbuster,22.1,50
Gibson,39.4,70
Gimlet,31.7,70
Gin & Tonic,39.2,50
Gin &  Sin,13.0,76
Gin Berry,16.9,100
Gin Fizz,22.6,88
